codigo,placa,linha,latitude,longitude,velocidade,sentido,trajeto,timestamp
903028,,50,-22.876174,-43.329321,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 12:34:55
901061,,51,-23.00856,-43.440344,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:26:33
903030,,50,-23.006531,-43.313701,0.0,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],2023-07-18 13:23:12
903057,,17,-22.920533,-43.60797,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],2023-06-26 07:59:59
901051,,53,-22.976124,-43.405086,17.5,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],2023-07-18 13:22:57
901064,,22,-22.965222,-43.391312,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 12:28:21
902107,,31,-22.96465,-43.391849,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],2023-07-18 12:14:35
901049,,46,-22.964738,-43.392154,0.0,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],2023-07-18 10:22:14
901073,,52,-23.000929,-43.367574,0.0,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:36:53
901048,,51,-22.964945,-43.391242,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 13:23:04
901065,,22,-23.000914,-43.367327,0.0,volta,,2023-07-18 12:50:29
903031,,50,-23.006455,-43.312537,0.0,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],2023-07-18 13:05:25
902092,,31,-22.87687,-43.329595,0.0,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],2023-07-18 13:13:21
903032,,42,-22.839337,-43.241018,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 13:23:09
901075,,51,-22.862178,-43.401192,0.0,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],2023-07-18 13:22:57
903055,,17,-22.91823,-43.638991,2.9,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],2023-07-18 13:23:01
